coddistbar,nombre_barrio,population
152,TORREFIEL,27233.0
113,LA MALVA-ROSA,13135.0
174,LES CASES DE BÀRCENA,377.0
101,MONT-OLIVET,19845.0
153,SANT LLORENS,11414.0
33,LA PETXINA,15388.0
111,EL GRAU,9931.0
191,EL FORN D'ALCEDO,1368.0
123,LA CREU DEL GRAU,15120.0
192,CASTELLAR-L'OLIVERAL,6913.0
84,EL SAFRANAR,10452.0
106,LA PUNTA,3441.0
142,CAMÍ DE VERA,5276.0
94,SANT MARCEL·LÍ,10330.0
63,JAUME ROIG,6532.0
83,VARA DE QUART,10199.0
177,BORBOTÓ,739.0
31,EL BOTÀNIC,6883.0
172,POBLE NOU,960.0
64,CIUTAT UNIVERSITÀRIA,2802.0
103,MALILLA,24924.0
54,TORMOS,8870.0
34,ARRANCAPINS,23354.0
72,SOTERNES,5095.0
81,PATRAIX,24613.0
125,PENYA-ROJA,13706.0
162,CIUTAT FALLERA,6236.0
104,LA FONTETA DE SANT LLUÍS,3186.0
11,LA SEU,3245.0
62,MESTALLA,14745.0
173,CARPESA,1220.0
196,EL PERELLONET,1515.0
41,CAMPANAR,11633.0
82,SANT ISIDRE,10444.0
171,BENIFARAIG,1008.0
198,FAITANAR,2065.0
42,LES TENDETES,5410.0
22,EL PLA DEL REMEI,7240.0
175,MAUELLA,59.0
53,TRINITAT,8082.0
102,EN CORTS,12222.0
195,EL PALMAR,750.0
75,LA LLUM,4998.0
61,EXPOSICIÓ,6941.0
32,LA ROQUETA,5018.0
131,L'ILLA PERDUDA,8453.0
112,EL CABANYAL-EL CANYAMELAR,19429.0
23,LA GRAN VIA,12291.0
182,BENIFERRI,1249.0
15,EL MERCAT,4034.0
176,MASSARROJOS,2646.0
74,LA FONTSANTA,3866.0
44,SANT PAU,18679.0
16,SANT FRANCESC,6073.0
197,LA TORRE,4836.0
132,CIUTAT JARDÍ,11922.0
114,BETERÓ,7935.0
193,PINEDO,2640.0
92,L'HORT DE SENABRE,17225.0
122,ALBORS,9136.0
52,MORVEDRE,10301.0
194,EL SALER,1956.0
93,LA CREU COBERTA,6099.0
13,EL CARME,7161.0
95,CAMÍ REAL,3960.0
115,NATZARET,6413.0
21,RUSSAFA,25100.0
135,LA CARRASCA,3301.0
121,AIORA,24902.0
85,FAVARA,3709.0
105,NA ROVELLA,7628.0
107,CIUTAT DE LES ARTS I DE LES CIÈNCIES,9020.0
134,LA BEGA BAIXA,5467.0
181,BENIMÀMET,14012.0
73,TRES FORQUES,10164.0
133,L'AMISTAT,7123.0
71,NOU MOLES,27351.0
151,ORRIOLS,18056.0
51,MARXALENES,11158.0
141,BENIMACLET,23265.0
91,LA RAIOSA,15968.0
124,CAMÍ FONDO,4589.0
55,SANT ANTONI,9972.0
43,EL CALVARI,5195.0
161,BENICALAP,43916.0
14,EL PILAR,5352.0
12,LA XEREA,4137.0
