service_id,date,exception_type
LAB,20250101,2
FES,20250101,1
LAB,20250106,2
FES,20250106,1
LAB,20250122,2
FES,20250122,1
LAB,20250319,2
FES,20250319,1
LAB,20250418,2
FES,20250418,1
LAB,20250421,2
FES,20250421,1
LAB,20250428,2
FES,20250428,1
LAB,20250501,2
FES,20250501,1
LAB,20250815,2
FES,20250815,1
LAB,20251009,2
FES,20251009,1
SAB,20251101,2
FES,20251101,1
SAB,20251206,2
FES,20251206,1
LAB,20251208,2
FES,20251208,1
LAB,20251225,2
FES,20251225,1
LAB,20250624,2
FES,20250624,1
NLAB,20241231,2
NFES,20241231,1
NLAB,20250105,2
NFES,20250105,1
NLAB,20250121,2
NFES,20250121,1
NLAB,20250318,2
NFES,20250318,1
NLAB,20250420,2
NFES,20250420,1
NLAB,20250427,2
NFES,20250427,1
NLAB,20251207,2
NFES,20251207,1
NLAB,20250623,2
NFES,20250623,1
