trip_id,start_time,end_time,headway_secs
1018D2I,6:00:00,6:23:00,1380
1018D2I,6:23:00,7:22:00,1180
1018D2I,7:22:00,21:35:00,812
1018D2I,21:35:00,22:00:00,1500
1018D2V,6:15:00,6:38:00,1380
1018D2V,6:38:00,7:14:00,1080
1018D2V,7:14:00,21:26:00,811
1018D2V,21:26:00,21:52:00,1560
1018D0I,6:00:00,6:22:00,1320
1018D0I,6:22:00,6:55:00,990
1018D0I,6:55:00,22:00:00,576
1018D0V,6:14:00,6:35:00,1260
1018D0V,6:35:00,21:15:00,574
1018D0V,21:15:00,21:52:00,840
1018D1I,6:00:00,6:23:00,1380
1018D1I,6:23:00,7:22:00,1180
1018D1I,7:22:00,21:35:00,812
1018D1I,21:35:00,22:00:00,1500
1018D1V,6:15:00,6:38:00,1380
1018D1V,6:38:00,7:14:00,1080
1018D1V,7:14:00,21:26:00,811
1018D1V,21:26:00,21:52:00,1560
1034D2I,7:15:00,8:00:00,2700
1034D2I,8:00:00,8:48:00,1440
1034D2I,8:48:00,22:25:00,816
1034D2I,22:25:00,23:05:00,2400
1034D2I,23:05:00,23:55:00,3000
1034D2I,23:55:00,24:45:00,3000
1034D2I,24:45:00,25:35:00,3000
1034D2V,6:50:00,7:35:00,2700
1034D2V,7:35:00,8:23:00,1440
1034D2V,8:23:00,22:40:00,837
1034D2V,22:40:00,23:30:00,3000
1034D2V,23:30:00,24:20:00,3000
1034D2V,24:20:00,25:10:00,3000
1034D0I,5:55:00,6:25:00,1800
1034D0I,6:25:00,8:08:00,773
1034D0I,8:08:00,21:15:00,497
1034D0I,21:15:00,22:25:00,600
1034D0I,22:25:00,23:05:00,2400
1034D0I,23:05:00,23:55:00,3000
1034D0I,23:55:00,24:45:00,3000
1034D0I,24:45:00,25:35:00,3000
1034D0V,5:30:00,6:00:00,1800
1034D0V,6:00:00,7:28:00,880
1034D0V,7:28:00,7:38:00,1200
1034D0V,7:38:00,7:47:00,270
1034D0V,7:47:00,8:03:00,960
1034D0V,8:03:00,8:11:00,240
1034D0V,8:11:00,8:27:00,960
1034D0V,8:27:00,8:35:00,480
1034D0V,8:35:00,20:15:00,500
1034D0V,20:15:00,22:40:00,627
1034D0V,22:40:00,23:30:00,3000
1034D0V,23:30:00,24:20:00,3000
1034D0V,24:20:00,25:10:00,3000
1034D1I,5:55:00,6:40:00,2700
1034D1I,6:40:00,8:17:00,1940
1034D1I,8:17:00,8:30:00,780
1034D1I,8:30:00,20:51:00,729
1034D1I,20:51:00,21:02:00,1320
1034D1I,21:02:00,21:13:00,660
1034D1I,21:13:00,23:05:00,747
1034D1I,23:05:00,26:50:00,1500
1034D1V,5:30:00,6:15:00,2700
1034D1V,6:15:00,7:25:00,2100
1034D1V,7:25:00,8:03:00,1140
1034D1V,8:03:00,9:15:00,864
1034D1V,9:15:00,9:26:00,1320
1034D1V,9:26:00,9:37:00,660
1034D1V,9:37:00,23:05:00,724
1034D1V,23:05:00,26:50:00,1500
1047D2I,7:30:00,8:05:00,2100
1047D2I,8:05:00,22:25:00,1139
1047D2V,7:40:00,8:20:00,2400
1047D2V,8:20:00,9:15:00,1650
1047D2V,9:15:00,22:25:00,1127
1047D0I,6:30:00,6:45:00,900
1047D0I,6:45:00,8:13:00,587
1047D0I,8:13:00,8:21:00,960
1047D0I,8:21:00,8:29:00,480
1047D0I,8:29:00,8:44:00,900
1047D0I,8:44:00,8:52:00,900
1047D0I,8:52:00,9:00:00,480
1047D0I,9:00:00,17:23:00,520
1047D0I,17:23:00,21:40:00,617
1047D0I,21:40:00,22:25:00,900
1047D0V,6:30:00,6:48:00,1080
1047D0V,6:48:00,7:31:00,860
1047D0V,7:31:00,15:43:00,509
1047D0V,15:43:00,21:33:00,600
1047D0V,21:33:00,22:25:00,820
1047D1I,7:00:00,7:25:00,1500
1047D1I,7:25:00,22:30:00,1002
1047D1V,7:00:00,7:50:00,3000
1047D1V,7:50:00,22:30:00,999
1017D2I,7:10:00,8:10:00,3600
1017D2I,8:10:00,8:51:00,1230
1017D2I,8:51:00,22:35:00,933
1017D2I,22:35:00,23:25:00,3000
1017D2I,23:25:00,24:30:00,3900
1017D2I,24:30:00,25:35:00,3900
1017D2V,6:40:00,7:40:00,3600
1017D2V,7:40:00,8:51:00,1420
1017D2V,8:51:00,9:06:00,1800
1017D2V,9:06:00,9:20:00,840
1017D2V,9:20:00,9:46:00,1560
