stop_id,stop_name,stop_lat,stop_lon,zone_id
30,València Sud,39.4408111572,-0.4106472135,A
28,Sant Isidre,39.4510345459,-0.4028027654,A
27,Safranar,39.4545707703,-0.3983833194,A
26,Patraix,39.456451416,-0.3905083239,A
25,Jesús,39.4592018127,-0.3845416605,A
51,Pl. Espanya,39.4662017822,-0.3816333413,A
17,Àngel Guimerà,39.4703025818,-0.3850361109,A
52,Túria,39.4788665771,-0.3912055492,A
53,Campanar,39.4846305847,-0.3950361013,A
54,Beniferri,39.4910316467,-0.3993369341,A
55,Empalme,39.4995765686,-0.4021083415,A
56,Cantereria,39.5023803711,-0.4120722115,A B
57,Benimàmet,39.5018768311,-0.4194111228,A B
58,Les Carolines - Fira,39.4987373352,-0.4254194498,A B
59,Campament,39.4958457947,-0.435323,A B
60,Paterna,39.4988098145,-0.4419719875,A B
61,Santa Rita,39.505657196,-0.4551055431,A B
62,Fuente del Jarro,39.5111732483,-0.4645166695,A B
198,Font del Barranc,39.5168998,-0.4716618,A B
63,La Canyada,39.5268058777,-0.4871222079,A B
64,La Vallesa,39.5378417969,-0.4979777634,A B
65,Entrepins,39.5433349609,-0.5139539838,B
108,El Clot,39.5498657227,-0.5279861093,B
66,Montesol,39.5555725098,-0.5316972136,B
67,L'Eliana,39.561832428,-0.5359194279,B
201,Gallipont - Torre del Virrei,39.5686645508,-0.5419166684,B
68,La Pobla de Vallbona,39.5827636719,-0.5622777939,B
69,Fondo de Benaguasil,39.5927238464,-0.5780805349,B
70,Benaguasil,39.5988807678,-0.5839277506,B
71,Llíria,39.6228408813,-0.590277791,B
72,Burjassot,39.5084152222,-0.4067361057,A B
73,Burjassot - Godella,39.5135307312,-0.4119972289,A B
74,Godella,39.5195045471,-0.4144555628,A B
75,Rocafort,39.5287094116,-0.4075777829,A B
76,Massarrojos,39.5366096497,-0.4028777778,A B
77,Moncada - Alfara,39.5435295105,-0.388461113,A B
78,Seminari - CEU,39.549987793,-0.3897444308,A B
79,Masies,39.5665817261,-0.4053777754,A B
80,Horta Vella,39.5819320679,-0.4431444407,B
107,Bétera,39.5906066895,-0.4575305581,B
9,Alboraia Peris Aragó,39.5007629395,-0.352327764,A B
10,Alboraia Palmaret,39.4956626892,-0.3552222252,A B
11,Machado,39.4924316406,-0.3587944508,A
12,Benimaclet,39.4848518372,-0.3623333275,A
13,Facultats - Manuel Broseta,39.4780044556,-0.361905545,A
14,Alameda,39.4731559753,-0.3653166592,A
15,Colón,39.4701461792,-0.3709277809,A
16,Xàtiva,39.4671859741,-0.3773750067,A
18,Av. del Cid,39.4682197571,-0.397574991,A
19,Nou d'Octubre,39.4706573486,-0.4076305628,A
20,Mislata,39.4738235474,-0.418305546,A B
21,Mislata Almassil,39.4760093689,-0.4243694544,A B
200,Faitanar,39.4776191711,-0.4331833422,A B
117,Quart de Poblet,39.481086731,-0.441880554,A B
118,Salt de l'Aigua,39.4848327637,-0.4505681992,A B
119,Manises,39.4895896912,-0.4590654373,A B
120,Roses,39.4926490784,-0.4672361016,A B
183,La Cova,39.4988899231,-0.4844444394,A B
184,La Presa,39.5172233582,-0.5158333182,A B
188,València la Vella,39.5304832458,-0.5342069864,B
185,Masia de Traver,39.5380554199,-0.5466666818,B
186,Riba-roja de Túria,39.5433349609,-0.5594444275,B
115,Marítim,39.4649391174,-0.3382369876,A
22,Ayora,39.4664268494,-0.3429694474,A
23,Amistat,39.4703330994,-0.3503944576,A
24,Aragó,39.4726257324,-0.3581166565,A
109,Bailén,39.4639778137,-0.3794222176,A
121,Aeroport,39.4923667908,-0.4749194384,+
1,Rafelbunyol,39.5885238647,-0.3310583234,A B
2,La Pobla de Farnals,39.5794181824,-0.3304361105,A B
3,Massamagrell,39.5705604553,-0.3330333233,A B
4,Museros,39.5615768433,-0.3408555686,A B
5,Albalat dels Sorells,39.5452651978,-0.3482888937,A B
6,Foios,39.5372238159,-0.3538694382,A B
7,Meliana,39.5280303955,-0.3518194556,A B
8,Almàssera,39.5122566223,-0.3542666733,A B
86,Beteró,39.4765930176,-0.3342027664,A
87,Tarongers - Ernest Lluch,39.47813797,-0.3396222293,A
88,La Carrasca,39.4796600342,-0.3448249996,A
89,Universitat Politècnica,39.4813156128,-0.3504999876,A
90,Vicente Zaragozá,39.4833717346,-0.3579472303,A
91,Trinitat,39.4862709045,-0.3677638769,A
92,Pont de Fusta,39.4817810059,-0.3731805682,A
93,Sagunt,39.4864997864,-0.3749722242,A
94,Reus,39.4859657288,-0.3817070127,A
95,Marxalenes,39.4879722595,-0.3838368952,A
96,Trànsits,39.4895629883,-0.387258321,A
97,Benicalap,39.4900283813,-0.3909277916,A
98,Garbí,39.4922904968,-0.3945111036,A
99,Florista,39.4944343567,-0.3968166709,A
100,Palau de Congressos,39.4971809387,-0.4001416564,A
101,La Granja,39.504032135,-0.4124779999,A B
102,Sant Joan,39.5052909851,-0.4163239896,A B
103,Campus,39.5072212219,-0.4174583256,A B
104,Vicent Andrés Estellés,39.5085601807,-0.4198839962,A B
83,Dr. Lluch,39.4693069458,-0.3281527758,A
84,Cabanyal,39.4728546143,-0.3275833428,A
85,La Cadena,39.4752044678,-0.3293749988,A
105,À Punt,39.5122032166,-0.424748987,A B
113,Parc Científic,39.5151405334,-0.4226219952,A B
112,Tomás y Valiente,39.5197715759,-0.4256361127,A B
111,La Coma,39.521572113,-0.4317069948,A B
110,Mas del Rosari,39.5249595642,-0.4358249903,A B
128,Alfauir,39.4892997742,-0.3660329878,A
129,Orriols,39.4931488037,-0.3676636219,A
130,Estadi Ciutat de València,39.4949188232,-0.3655419946,A
131,Sant Miquel dels Reis,39.4972190857,-0.3684949875,A
132,Tossal del Rei,39.4959526062,-0.3725369871,A
114,Ll. Llarga - Terramelar,39.5098991394,-0.4304472208,A B
122,Francesc Cubells,39.4632453918,-0.3339729905,A
123,Grau - La Marina,39.4631004333,-0.3294720054,A
127,Canyamelar,39.4665222168,-0.3279320002,A
126,Neptú,39.4632530212,-0.3258508444,A
81,Platja Malva-rosa,39.473690033,-0.3257277906,A
82,Platja les Arenes,39.4689292908,-0.3257277906,A
190,Alacant,39.463583,-0.377389,A
191,Russafa,39.463913,-0.369531,A
192,Amado Granell - Montolivet,39.459373,-0.36511,A
193,Quatre Carreres,39.452447,-0.360125,A
194,Ciutat Arts i Ciències - Justícia,39.452592,-0.353216,A
195,Oceanogràfic,39.452038,-0.347342,A
196,Moreres,39.45015,-0.338408,A
197,Natzaret,39.449889,-0.334674,A
