route_id,service_id,trip_id,trip_headsign,shape_id
V10-190-197,2809,4502838,Natzaret,74
V10-197-190,2809,4502932,Alacant,73
V10-190-197,2809,4502839,Natzaret,74
V10-197-190,2809,4502933,Alacant,73
V10-190-197,2809,4502840,Natzaret,74
V10-197-190,2809,4502934,Alacant,73
V10-190-197,2809,4502841,Natzaret,74
V10-197-190,2809,4502935,Alacant,73
V10-190-197,2809,4502842,Natzaret,74
V1-20-29,2809,4501838,Empalme,48
V10-197-190,2809,4502936,Alacant,73
V10-190-197,2809,4502843,Natzaret,74
V10-197-190,2809,4502937,Alacant,73
V10-190-197,2809,4502844,Natzaret,74
V10-197-190,2809,4502938,Alacant,73
V10-190-197,2809,4502845,Natzaret,74
V10-197-190,2809,4502939,Alacant,73
V10-190-194,2809,4502846,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502940,Alacant,73
V10-190-197,2809,4502847,Natzaret,74
V1-20-29,2809,4502152,València Sud,48
V10-197-190,2809,4502941,Alacant,73
V10-190-194,2809,4502848,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502942,Alacant,73
V10-190-197,2809,4502849,Natzaret,74
V10-197-190,2809,4502943,Alacant,73
V10-190-194,2809,4502850,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502944,Alacant,73
V10-190-197,2809,4502851,Natzaret,74
V10-197-190,2809,4502945,Alacant,73
V10-190-194,2809,4502852,Ciutat Arts i Ciències - Justícia,74
V1-20-29,2809,4501837,Empalme,48
V10-194-190,2809,4502946,Alacant,73
V10-190-197,2809,4502853,Natzaret,74
V10-197-190,2809,4502947,Alacant,73
V10-190-194,2809,4502854,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502948,Alacant,73
V10-190-197,2809,4502855,Natzaret,74
V10-197-190,2809,4502949,Alacant,73
V10-190-194,2809,4502856,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502950,Alacant,73
V10-190-197,2809,4502857,Natzaret,74
V10-197-190,2809,4502951,Alacant,73
V10-190-194,2809,4502858,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502952,Alacant,73
V10-190-197,2809,4502859,Natzaret,74
V10-197-190,2809,4502953,Alacant,73
V10-190-194,2809,4502860,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502954,Alacant,73
V10-190-197,2809,4502861,Natzaret,74
V10-197-190,2809,4502955,Alacant,73
V10-190-194,2809,4502862,Ciutat Arts i Ciències - Justícia,74
V1-20-36,2809,4501836,Seminari - CEU,48
V10-194-190,2809,4502956,Alacant,73
V10-190-197,2809,4502863,Natzaret,74
V10-197-190,2809,4502957,Alacant,73
V10-190-194,2809,4502864,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502958,Alacant,73
V10-190-197,2809,4502865,Natzaret,74
V10-197-190,2809,4502959,Alacant,73
V10-190-194,2809,4502866,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502960,Alacant,73
V10-190-197,2809,4502867,Natzaret,74
V10-197-190,2809,4502961,Alacant,73
V10-190-194,2809,4502868,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502962,Alacant,73
V10-190-197,2809,4502869,Natzaret,74
V10-197-190,2809,4502963,Alacant,73
V10-190-194,2809,4502870,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502964,Alacant,73
V10-190-197,2809,4502871,Natzaret,74
V10-197-190,2809,4502965,Alacant,73
V10-190-194,2809,4502872,Ciutat Arts i Ciències - Justícia,74
V1-20-39,2809,4501835,Bétera,48
V10-194-190,2809,4502966,Alacant,73
V10-190-197,2809,4502873,Natzaret,74
V10-197-190,2809,4502967,Alacant,73
V10-190-194,2809,4502874,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502968,Alacant,73
V10-190-197,2809,4502875,Natzaret,74
V10-197-190,2809,4502969,Alacant,73
V10-190-194,2809,4502876,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502970,Alacant,73
V10-190-197,2809,4502877,Natzaret,74
V1-20-29,2809,4502151,València Sud,48
V10-197-190,2809,4502971,Alacant,73
V10-190-194,2809,4502878,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502972,Alacant,73
V10-190-197,2809,4502879,Natzaret,74
V10-197-190,2809,4502973,Alacant,73
V10-190-194,2809,4502880,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502974,Alacant,73
V10-190-197,2809,4502881,Natzaret,74
V10-197-190,2809,4502975,Alacant,73
V10-190-194,2809,4502882,Ciutat Arts i Ciències - Justícia,74
V1-20-29,2809,4501834,Empalme,48
V10-194-190,2809,4502976,Alacant,73
V10-190-197,2809,4502883,Natzaret,74
V10-197-190,2809,4502977,Alacant,73
V10-190-194,2809,4502884,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502978,Alacant,73
V10-190-197,2809,4502885,Natzaret,74
V10-197-190,2809,4502979,Alacant,73
V10-190-194,2809,4502886,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502980,Alacant,73
V10-190-197,2809,4502887,Natzaret,74
V1-20-29,2809,4502150,València Sud,48
V10-197-190,2809,4502981,Alacant,73
V10-190-194,2809,4502888,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502982,Alacant,73
V10-190-197,2809,4502889,Natzaret,74
V10-197-190,2809,4502983,Alacant,73
V10-190-194,2809,4502890,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502984,Alacant,73
V10-190-197,2809,4502891,Natzaret,74
V10-197-190,2809,4502985,Alacant,73
V10-190-194,2809,4502892,Ciutat Arts i Ciències - Justícia,74
V1-20-36,2809,4501833,Seminari - CEU,48
V10-194-190,2809,4502986,Alacant,73
V10-190-197,2809,4502893,Natzaret,74
V10-197-190,2809,4502987,Alacant,73
V10-190-194,2809,4502894,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502988,Alacant,73
V10-190-197,2809,4502895,Natzaret,74
V10-197-190,2809,4502989,Alacant,73
V10-190-194,2809,4502896,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502990,Alacant,73
V10-190-197,2809,4502897,Natzaret,74
V1-20-36,2809,4502149,València Sud,48
V10-197-190,2809,4502991,Alacant,73
V10-190-194,2809,4502898,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502992,Alacant,73
V10-190-197,2809,4502899,Natzaret,74
V10-197-190,2809,4502993,Alacant,73
V10-190-194,2809,4502900,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502994,Alacant,73
V10-190-197,2809,4502901,Natzaret,74
V10-197-190,2809,4502995,Alacant,73
V10-190-194,2809,4502902,Ciutat Arts i Ciències - Justícia,74
V1-20-39,2809,4501832,Bétera,48
V10-194-190,2809,4502996,Alacant,73
V10-190-197,2809,4502903,Natzaret,74
V10-197-190,2809,4502997,Alacant,73
V10-190-194,2809,4502904,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4502998,Alacant,73
V10-190-197,2809,4502905,Natzaret,74
V10-197-190,2809,4502999,Alacant,73
V10-190-194,2809,4502906,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4503000,Alacant,73
V10-190-197,2809,4502907,Natzaret,74
V1-20-39,2809,4502148,València Sud,48
V10-197-190,2809,4503001,Alacant,73
V10-190-194,2809,4502908,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4503002,Alacant,73
V10-190-197,2809,4502909,Natzaret,74
V10-197-190,2809,4503003,Alacant,73
V10-190-194,2809,4502910,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4503004,Alacant,73
V10-190-197,2809,4502911,Natzaret,74
V10-197-190,2809,4503005,Alacant,73
V10-190-194,2809,4502912,Ciutat Arts i Ciències - Justícia,74
V1-20-36,2809,4501831,Seminari - CEU,48
V10-194-190,2809,4503006,Alacant,73
V10-190-197,2809,4502913,Natzaret,74
V10-197-190,2809,4503007,Alacant,73
V10-190-194,2809,4502914,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4503008,Alacant,73
V10-190-197,2809,4502915,Natzaret,74
V10-197-190,2809,4503009,Alacant,73
V10-190-194,2809,4502916,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4503010,Alacant,73
V10-190-197,2809,4502917,Natzaret,74
V1-20-36,2809,4502147,València Sud,48
V10-197-190,2809,4503011,Alacant,73
V10-190-194,2809,4502918,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4503012,Alacant,73
V10-190-197,2809,4502919,Natzaret,74
V10-197-190,2809,4503013,Alacant,73
V10-190-194,2809,4502920,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4503014,Alacant,73
V10-190-197,2809,4502921,Natzaret,74
V10-197-190,2809,4503015,Alacant,73
V10-190-194,2809,4502922,Ciutat Arts i Ciències - Justícia,74
V1-20-39,2809,4501830,Bétera,48
V10-194-190,2809,4503016,Alacant,73
V10-190-197,2809,4502923,Natzaret,74
V10-197-190,2809,4503017,Alacant,73
V10-190-194,2809,4502924,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4503018,Alacant,73
V10-190-197,2809,4502925,Natzaret,74
V10-197-190,2809,4503019,Alacant,73
V10-190-194,2809,4502926,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2809,4503020,Alacant,73
V10-190-197,2809,4502927,Natzaret,74
V1-20-39,2809,4502146,València Sud,48
V10-197-190,2809,4503021,Alacant,73
V10-190-197,2809,4502928,Natzaret,74
V10-197-190,2809,4503022,Alacant,73
V10-190-197,2809,4502929,Natzaret,74
V10-197-190,2809,4503023,Alacant,73
V10-190-197,2809,4502930,Natzaret,74
V10-197-190,2809,4503024,Alacant,73
V10-190-197,2809,4502931,Natzaret,74
V10-197-190,2809,4503025,Alacant,73
V1-20-36,2809,4501829,Seminari - CEU,48
V1-20-36,2809,4502145,València Sud,48
V1-20-39,2809,4501828,Bétera,48
V1-20-39,2809,4502144,València Sud,48
V1-20-36,2809,4501827,Seminari - CEU,48
V1-20-36,2809,4502143,València Sud,48
V1-20-39,2809,4501826,Bétera,48
V1-20-39,2809,4502142,València Sud,48
V1-20-36,2809,4501825,Seminari - CEU,48
V1-20-36,2809,4502141,València Sud,48
V1-20-39,2809,4501824,Bétera,48
V1-20-39,2809,4502140,València Sud,48
V1-20-36,2809,4501823,Seminari - CEU,48
V1-20-36,2809,4502139,València Sud,48
V1-20-39,2809,4501822,Bétera,48
V1-20-39,2809,4502138,València Sud,48
V1-20-36,2809,4501821,Seminari - CEU,48
V1-20-36,2809,4502137,València Sud,48
V1-20-39,2809,4501820,Bétera,48
V1-20-39,2809,4502136,València Sud,48
V1-20-36,2809,4501819,Seminari - CEU,48
V1-20-36,2809,4502135,València Sud,48
V1-20-39,2809,4501818,Bétera,48
V1-20-39,2809,4502134,València Sud,48
V1-20-36,2809,4501817,Seminari - CEU,48
V1-20-36,2809,4502133,València Sud,48
V1-20-39,2809,4501816,Bétera,48
V1-20-39,2809,4502132,València Sud,48
V1-20-36,2809,4501815,Seminari - CEU,48
V1-20-36,2809,4502131,València Sud,48
V1-20-39,2809,4501814,Bétera,48
V1-20-39,2809,4502130,València Sud,48
V1-20-36,2809,4501813,Seminari - CEU,48
V1-20-36,2809,4502129,València Sud,48
V1-20-39,2809,4501812,Bétera,48
V1-20-39,2809,4502128,València Sud,48
V1-20-36,2809,4501811,Seminari - CEU,48
V1-20-36,2809,4502127,València Sud,48
V1-20-39,2809,4501810,Bétera,48
V1-20-39,2809,4502126,València Sud,48
V1-20-36,2809,4501809,Seminari - CEU,48
V1-20-36,2809,4502125,València Sud,48
V1-20-39,2809,4501808,Bétera,48
V1-20-39,2809,4502124,València Sud,48
V1-20-36,2809,4501807,Seminari - CEU,48
V1-20-36,2809,4502123,València Sud,48
V1-20-39,2809,4501806,Bétera,48
V1-20-39,2809,4502122,València Sud,48
V1-20-36,2809,4501805,Seminari - CEU,48
V1-20-36,2809,4502121,València Sud,48
V1-20-39,2809,4501804,Bétera,48
V1-20-39,2809,4502120,València Sud,48
V1-20-36,2809,4501803,Seminari - CEU,48
V1-20-36,2809,4502119,València Sud,48
V1-20-39,2809,4501802,Bétera,48
V1-20-39,2809,4502118,València Sud,48
